[Sun Oct 22 18:00:00 KST 2023] Script started

> product_crawling@1.0.58 update:shop
> ts-node ./home_shopping_update

Start fetching shop list 2023-10-22T09:00:05.105Z
[91/177] Complete schedule_id: 422 https://m.livehs.co.kr/product/detail/338676493 2023-10-22T09:01:31.342Z
[92/177] Complete schedule_id: 423 https://m.livehs.co.kr/product/detail/338122512 2023-10-22T09:01:32.206Z
[93/177] Complete schedule_id: 424 https://m.livehs.co.kr/product/detail/338566275 2023-10-22T09:01:32.996Z
[94/177] Complete schedule_id: 425 https://m.livehs.co.kr/product/detail/338161532 2023-10-22T09:01:33.978Z
[95/177] Complete schedule_id: 426 https://m.livehs.co.kr/product/detail/338143691 2023-10-22T09:01:34.978Z
[96/177] Complete schedule_id: 427 https://m.livehs.co.kr/product/detail/338598038 2023-10-22T09:01:35.908Z
[97/177] Complete schedule_id: 428 https://m.livehs.co.kr/product/detail/338598040 2023-10-22T09:01:36.761Z
[98/177] Complete schedule_id: 429 https://m.livehs.co.kr/product/detail/338598043 2023-10-22T09:01:37.719Z
[99/177] Complete schedule_id: 430 https://m.livehs.co.kr/product/detail/338880914 2023-10-22T09:01:38.586Z
[100/177] Complete schedule_id: 431 https://m.livehs.co.kr/product/detail/338372030 2023-10-22T09:01:39.506Z
[101/177] Complete schedule_id: 432 https://m.livehs.co.kr/product/detail/338598047 2023-10-22T09:01:40.611Z
[102/177] Complete schedule_id: 433 https://m.livehs.co.kr/product/detail/338880877 2023-10-22T09:01:41.441Z
[103/177] Complete schedule_id: 434 https://m.livehs.co.kr/product/detail/338880915 2023-10-22T09:01:42.257Z
[104/177] Complete schedule_id: 435 https://m.livehs.co.kr/product/detail/338350044 2023-10-22T09:01:43.182Z
[105/177] Complete schedule_id: 436 https://m.livehs.co.kr/product/detail/338598050 2023-10-22T09:01:44.201Z
[106/177] Complete schedule_id: 437 https://m.livehs.co.kr/product/detail/338350047 2023-10-22T09:01:45.029Z
[107/177] Complete schedule_id: 438 https://m.livehs.co.kr/product/detail/338566240 2023-10-22T09:01:46.027Z
[108/177] Complete schedule_id: 439 https://m.livehs.co.kr/product/detail/338099679 2023-10-22T09:01:46.965Z
[109/177] Complete schedule_id: 440 https://m.livehs.co.kr/product/detail/338328889 2023-10-22T09:01:47.795Z
[110/177] Complete schedule_id: 441 https://m.livehs.co.kr/product/detail/338292739 2023-10-22T09:01:48.714Z
[111/177] Complete schedule_id: 442 https://m.livehs.co.kr/product/detail/338328891 2023-10-22T09:01:49.637Z
[112/177] Complete schedule_id: 443 https://m.livehs.co.kr/product/detail/338151114 2023-10-22T09:01:50.564Z
[113/177] Complete schedule_id: 444 https://m.livehs.co.kr/product/detail/338880886 2023-10-22T09:01:51.361Z
